"Mach Number","Pressure (Pa)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","X (m)","Y (m)","Z (m)"
0.0072027081623673439,59479.812938004266,0,0,0,0.0065686889554226954,0.0069313319264275508,0
0.0075108255259692669,58014.769106099382,0,0,0,0.0061771015498763874,0.0066188653185036538,0
0.0050067654810845852,57030.863988744095,0,0,0,0.0057894373892647026,0.0063015443500028037,0
0.003440451342612505,56258.981692178175,0,0,0,0.0050260957727261222,0.005652566058376979,0
0.0022037406452000141,55438.67420348525,0,0,0,0.004650527233432203,0.005321020019454596,0
0.0034079910255968571,56714.574238147587,0,0,0,0.0054057505702818712,0.0059794258186427838,0
0.0021432011853903532,54356.128467909526,0,0,0,0.0042790996499440202,0.0049848420249650593,0
0.0095851710066199303,53188.970087358728,0,0,0,0.0039118690161782255,0.0046440865080350589,0
0.016590192914009094,52670.274379737151,0,0,0,0.0035500172494531404,0.0042999047005085958,0
0.019713792949914932,52889.836762063205,0,0,0,0.0031993378600379471,0.0039581350987084579,0
0.02069397084414959,53427.503889751853,0,0,0,0.0028517945411985074,0.0036109420386099939,0
0.020315151661634445,54003.378733601421,0,0,0,0.0025017083275107811,0.0032525918343753266,0
0.01958964578807354,54525.109780272469,0,0,0,0.0021683398513270523,0.0029030767897808211,0
0.0177159383893013,54956.789327172562,0,0,0,0.0018594144274815358,0.0025715098866817008,0
0.015722362324595451,55018.232461965061,0,0,0,0.0015739611560039025,0.002258406496997236,0
0.012708066962659359,54717.587039028294,0,0,0,0.0013162935722870099,0.0019700022484538319,0
0.010055358521640301,54104.187822698615,0,0,0,0.0010866205917450294,0.0017081404189238445,0
0.0048179631121456623,44068.665277577005,0,0,0,0.00011771711451077475,0.00055010998827536943,0
0.0077912090346217155,53209.177672352642,0,0,0,0.00088367317322989177,0.0014728695173615396,0
0.0045104934833943844,41965.174232758,0,0,0,4.3449106555695355e-05,0.00045754730045255182,0
0.0041679912246763706,45906.55087354593,0,0,0,0.00020337107515377571,0.00065615988330560739,0
0.006015509832650423,52132.490542815067,0,0,0,0.00070588796071634132,0.0012636888416099413,0
0.00064880127320066094,39496.952994799707,0,0,0,-2.1411074902290745e-05,0.00037624072677917104,0
0.0026861242949962616,47672.037451751065,0,0,0,0.00030259840434727512,0.00077808639753295717,0
0.0036421117838472128,50892.591914552264,0,0,0,0.0005513557416106324,0.0010794675447148893,0
0.0090263979509472847,84357.865762799978,0,0,0,0.00045808213953278741,6.5095164490816136e-05,0
0.011254834942519665,83906.887030784041,0,0,0,0.00037916491254434486,-2.7362762567473099e-06,0
0.0054175187833607197,36824.699733136396,0,0,0,-7.8586944430868698e-05,0.00030420032104562701,0
0.0002494866494089365,49383.379451707937,0,0,0,0.00041776183659909734,0.00091836459815158877,0
0.0086110737174749374,84733.161217782646,0,0,0,0.00054868832095241837,0.00014272613464384862,0
0.016856726258993149,83253.944411767647,0,0,0,0.00030975635787165034,-6.2561177113032085e-05,0
0.032902028411626816,32684.975587229099,0,0,0,-0.00013018147121125967,0.00023889291629387003,0
0.0085061006247997284,85126.481529721292,0,0,0,0.00065337447003091227,0.00023209274556298959,0
0.029580976814031601,82343.65320456773,0,0,0,0.00024788150838935382,-0.00011602430246619879,0
0.10283689945936203,31099.058863257989,0,0,0,-0.00017583406290952057,0.00018087475196421217,0
0.0068621071986854076,85601.989374678582,0,0,0,0.00077473553835700603,0.00033525598315965602,0
0.040454436093568802,78329.969680204988,0,0,0,0.00019122466922285146,-0.00016508843791943005,0
0.22409042716026306,36031.880349107552,0,0,0,-0.00021257315530406345,0.00012795361001688964,0
0.0054362239316105843,93926.658295912668,0,0,0,0.0020105690081753122,0.0013595489214742655,0
0.004996835719794035,85954.035591489635,0,0,0,0.00091558615489935433,0.00045439958954666569,0
0.067104317247867584,74022.531649909914,0,0,0,0.00013840389905507615,-0.00020592191099800015,0
0.28673481941223145,51340.178024560912,0,0,0,-0.00023733057527239445,7.2344995214007474e-05,0
0.0044768499210476875,92797.748070657253,0,0,0,0.0017321755341988781,0.0011329128802471291,0
0.0088076693937182426,85848.676299959887,0,0,0,0.0010789408879139561,0.00059179437228113613,0
0.18490311503410339,77820.993586149067,0,0,0,8.4098217791809036e-05,-0.00023342442560057294,0
0.010799515061080456,122497.20320128091,0,0,0,-0.00014774620962970723,-0.00019932910264636191,0
0.25841504335403442,72033.475804568268,0,0,0,-0.00024780366689541714,1.2395442635370081e-05,0
0.017466545104980469,89976.34043327719,0,0,0,0.0014849753371410979,0.00092968984296325392,0
0.017658766359090805,86787.80123898387,0,0,0,0.0012678467132842984,0.0007496364112821504,0
0.20712828636169434,90502.224094640464,0,0,0,2.4730350180884539e-05,-0.00024687624939037401,0
0.10164468735456467,116577.15667500347,0,0,0,-9.4798046214823726e-05,-0.00022928912387524983,0
0.07507786899805069,119999.4436961764,0,0,0,-0.00019179726214566781,-0.00015740200657370735,0
0.20677383244037628,92957.341236111155,0,0,0,-0.00024337248079288242,-4.8278497690334787e-05,0
0.16546764969825745,105269.70884082443,0,0,0,-3.612613034208825e-05,-0.00024546766666673438,0
0.15341223776340485,109012.16601315257,0,0,0,-0.00022432035838930122,-0.00010602902146077663,0
0.0027403382118791342,93650.9639606243,0,0,0,0.030164267375737006,0.015420028061128082,0
0.0029190399218350649,93483.128724371549,0,0,0,0.029664033920553091,0.015387482127041954,0
0.0029266870114952326,92859.384413590655,0,0,0,0.028189992327238782,0.015266033291621597,0
0.0022303157020360231,92759.495421813335,0,0,0,0.027696592882594386,0.015216585569117898,0
