"Mach Number","Pressure (Pa)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","X (m)","Y (m)","Z (m)"
0.78825828433036804,80882.111365763471,166.26373291015625,197.94461059570312,0,-0.0037000000000000847,0.00096984262278398438,0
0.91094106435775757,71262.352931708185,208.12712097167969,206.20953369140625,0,-0.0037000000000001225,-0.0090301573781473334,0
0.9229714572429657,70310.993069859222,209.89041137695312,209.21771240234375,0,-0.0037000000000001242,-0.0095301573725593974,0
0.87475821375846863,74077.801931830618,201.99118041992188,198.13369750976562,0,-0.0037000000000001164,-0.0075301573744220411,0
0.77033215761184692,82416.967810182105,166.79435729980469,190.080078125,0,-0.0037000000000000886,-3.0157376284695517e-05,0
0.76960989832878113,82431.416108197081,172.93608093261719,184.20945739746094,0,-0.0037000000000000938,-0.0015301573697654343,0
0.79600924253463745,80324.375902874279,183.4578857421875,184.80618286132812,0,-0.0037000000000001016,-0.0035301573781473371,0
0.83342039585113525,77408.143034575623,193.14772033691406,190.09019470214844,0,-0.003700000000000109,-0.0055301573762846935,0
0.77729985117912292,81827.362181466626,166.00228881835938,193.65542602539062,0,-0.0037000000000000865,0.0004698426181273703,0
0.82356300950050354,78171.066741940842,190.85191345214844,188.50531005859375,0,-0.0037000000000001073,-0.0050301573818726276,0
0.84343656897544861,76613.805678827208,195.42471313476562,191.83763122558594,0,-0.0037000000000001112,-0.0060301573736976852,0
0.78046226501464844,81547.719601647346,178.201904296875,183.6793212890625,0,-0.0037000000000000977,-0.0025301573746083095,0
0.80478975176811218,79636.651104194549,185.99993896484375,185.8125,0,-0.0037000000000001034,-0.0040301573725594012,0
0.78780311346054077,80966.10903047942,180.85087585449219,184.08355712890625,0,-0.0037000000000000999,-0.0030301573792649236,0
0.77428406476974487,82047.96501466402,175.5291748046875,183.681640625,0,-0.003700000000000096,-0.0020301573744220449,0
0.88667762279510498,73162.75786729707,204.10929870605469,200.6575927734375,0,-0.0037000000000001186,-0.0080301573746083058,0
0.85343101620674133,75789.490363147823,197.67800903320312,193.72293090820312,0,-0.0037000000000001129,-0.0065301573681097493,0
0.80369329452514648,79563.314655905357,167.759765625,202.9237060546875,0,-0.0037000000000000826,0.0014698426274405967,0
0.813934326171875,78915.584056278283,188.47274780273438,187.0567626953125,0,-0.0037000000000001051,-0.0045301573772160136,0
0.89886748790740967,72218.102753080573,206.17868041992188,203.35017395019531,0,-0.0037000000000001203,-0.0085301573792649216,0
0.86375096440315247,74948.889233365306,199.85653686523438,195.82582092285156,0,-0.0037000000000001147,-0.0070301573697654322,0
0.7669176459312439,82657.702646468038,170.47515869140625,185.39303588867188,0,-0.0037000000000000921,-0.0010301573681097513,0
0.76703765988349915,82654.489887346252,168.37786865234375,187.3416748046875,0,-0.0037000000000000904,-0.00053015737369768723,0
0.8228243887424469,77984.660351683269,170.49696350097656,208.04769897460938,0,-0.0037000000000000808,0.0019698426218526608,0
0.87137278914451599,74506.103498783457,178.66555786132812,217.6748046875,0,-0.0037000000000000774,0.0029698426253916884,0
0.95498377084732056,67861.127970883535,213.53128051757812,217.90023803710938,0,-0.003700000000000047,0.010969842623715304,0
0.98940718173980713,65177.089737132046,214.11767578125,230.09263610839844,0,-0.0037000000000000583,0.0079698426207350723,0
0.91463765501976013,71031.14141423894,188.39382934570312,225.41986083984375,0,-0.0037000000000000735,0.0039698426302345637,0
0.84931761026382446,76250.817062341594,174.28340148925781,213.01689147949219,0,-0.0037000000000000791,0.0024698426207350743,0
0.9347865879535675,69436.522233077441,193.43814086914062,228.45880126953125,0,-0.0037000000000000713,0.0044698426318902466,0
0.89342519640922546,72740.852496673426,183.42742919921875,221.82174682617188,0,-0.0037000000000000752,0.003469842625577953,0
0.96321907639503479,67239.110348337548,214.0555419921875,220.38252258300781,0,-0.0037000000000000492,0.010469842626302312,0
0.98923784494400024,65156.621294268225,210.13333129882812,233.77664184570312,0,-0.0037000000000000643,0.0064698426227839823,0
0.99208834767341614,64943.528835097313,213.51324462890625,231.70953369140625,0,-0.0037000000000000604,0.0074698426218526588,0
0.98069518804550171,65893.170439285052,214.44486999511719,226.44639587402344,0,-0.0037000000000000548,0.0089698426255779493,0
0.992491215467453,64895.256406612411,212.28317260742188,233.05520629882812,0,-0.0037000000000000622,0.0069698426274405947,0
0.96924299001693726,66757.078585480835,202.96826171875,232.65089416503906,0,-0.0037000000000000678,0.0054698426237153024,0
0.9532940685749054,67986.900973093812,198.368408203125,230.91410827636719,0,-0.0037000000000000696,0.0049698426263023107,0
0.98542079329490662,65510.526499603024,214.36874389648438,228.30612182617188,0,-0.0037000000000000565,0.0084698426253916846,0
0.96992498636245728,66730.186788342864,214.32830810546875,222.54702758789062,0,-0.0037000000000000509,0.0099698426318902463,0
0.94529053568840027,68592.628424099137,212.65248107910156,215.15513610839844,0,-0.0037000000000000453,0.011469842618127371,0
0.93449392914772034,69416.625365802873,211.43002319335938,212.22418212890625,0,-0.0037000000000000847,0.011969842622783999,0
0.98144164681434631,65789.894725095219,206.96258544921875,233.63690185546875,0,-0.0037000000000000661,0.0059698426181273682,0
0.97555232048034668,66294.964131627494,214.43183898925781,224.53242492675781,0,-0.0037000000000000531,0.0094698426302345616,0
0.50533047318458557,102458.08366260611,169.03239440917969,26.647392272949219,0,0.051820405393949172,0.0089808006165126367,0
0.4834551215171814,102748.2965011324,161.92047119140625,27.221263885498047,0,0.051820405393949193,0.015480800615581339,0
0.50548359751701355,102446.23780793577,169.21395874023438,25.986467361450195,0,0.051820405393949165,0.0069808006081307217,0
